structure,type,seas_adj,date,value
mining,nom,csa,2013-10-01,177.707822718841
mining,nom,csa,2014-01-01,174.393776551459
mining,nom,csa,2014-04-01,168.320851319903
mining,nom,csa,2014-07-01,165.917757355049
mining,nom,csa,2014-10-01,166.48479718909
mining,nom,csa,2015-01-01,170.05994426933
mining,nom,csa,2015-04-01,169.87613022206
mining,nom,csa,2015-07-01,174.836888053608
mining,nom,csa,2015-10-01,175.642415342686
mining,nom,csa,2016-01-01,182.502740097324
mining,nom,csa,2016-04-01,180.54840150329
mining,nom,csa,2016-07-01,180.171811638561
mining,nom,csa,2016-10-01,178.608225250474
mining,nom,csa,2017-01-01,175.420243124044
mining,nom,csa,2017-04-01,179.684504902848
mining,nom,csa,2017-07-01,182.283925932031
